SUCCESS SOUNDS:
random.levelup
random.orb
note.pling

NEW MESSAGE
execute @a ~ ~ ~ playsound random.click @s ~ ~ ~ 1 1.6

WHOOSH
vr.stutterturn

MAGIC
beacon.power
beacon.activate
mob.evocation_illager.cast_spell
PROPULSION
mob.cat.hiss (pitch = 2)

CREEPY
mob.wither.spawn
mob.wolf.whine

IMPRESSIVE
mob.wither.break_block

METALLIC
block.false_permissions

DISGUSTING
mob.spider.step
CRACKING
block.turtle_egg.crack

----------------------------

Sound Name (for /playsound) 	Category

ambient.weather.thunder 	weather
ambient.weather.lightning.impact 	weather
ambient.weather.rain 	weather
beacon.activate 	block
beacon.ambient 	block
beacon.deactivate 	block
beacon.power 	block
block.lantern.break 	block
block.lantern.fall 	block
block.lantern.hit 	block
block.lantern.place 	block
block.lantern.step 	block
block.bamboo.break 	block
block.bamboo.fall 	block
block.bamboo.hit 	block
block.bamboo.place 	block
block.bamboo.step 	block
block.bamboo_sapling.place 	block
block.bamboo_sapling.break 	block
block.campfire.crackle 	block
block.barrel.close 	–
block.barrel.open 	–
block.campfire.crackle 	block
block.barrel.close 	–
block.barrel.open 	–
block.false_permissions 	block
block.end_portal.spawn 	–
block.end_portal_frame.fill 	–
block.itemframe.add_item 	block
block.itemframe.break 	block
block.itemframe.place 	block
block.itemframe.remove_item 	block
block.itemframe.rotate_item 	block
block.chorusflower.death 	block
block.chorusflower.grow 	block
block.composter.fill 	block
block.composter.fill_success 	block
block.composter.empty 	block
block.composter.ready 	block
block.loom.use 	block
ui.loom.take_result 	ui
ui.cartography_table.take_result 	ui
ui.loom.select_pattern 	ui
block.stonecutter.use 	block
ui.stonecutter.take_result 	ui
block.cartography_table.use 	block
block.grindstone.use 	block
block.turtle_egg.drop 	block
block.turtle_egg.break 	block
block.turtle_egg.crack 	block
block.scaffolding.break 	–
block.scaffolding.fall 	–
block.scaffolding.hit 	–
block.scaffolding.place 	–
block.scaffolding.step 	–
block.scaffolding.climb 	block
block.sweet_berry_bush.break 	block
block.sweet_berry_bush.place 	block
block.sweet_berry_bush.hurt 	block
block.sweet_berry_bush.pick 	block
bucket.empty_lava 	bucket
bucket.empty_water 	bucket
bucket.fill_lava 	bucket
bucket.fill_water 	bucket
bucket.fill_fish 	bucket
bucket.empty_fish 	bucket
bottle.dragonbreath 	bottle
cauldron.explode 	block
cauldron.dyearmor 	block
cauldron.cleanarmor 	block
cauldron.cleanbanner 	block
cauldron.fillpotion 	block
cauldron.takepotion 	block
cauldron.fillwater 	block
cauldron.takewater 	block
cauldron.adddye 	block
conduit.activate 	block
conduit.ambient 	block
conduit.attack 	block
conduit.deactivate 	block
conduit.short 	block
crossbow.loading.start 	neutral
crossbow.loading.middle 	neutral
crossbow.loading.end 	neutral
crossbow.shoot 	neutral
crossbow.quick_charge.start 	neutral
crossbow.quick_charge.middle 	neutral
crossbow.quick_charge.end 	neutral
damage.fallbig 	player
damage.fallsmall 	player
elytra.loop 	neutral
game.player.attack.nodamage 	–
game.player.attack.strong 	–
game.player.hurt 	player
game.player.die 	player
dig.cloth 	block
dig.grass 	block
dig.gravel 	block
dig.sand 	block
dig.snow 	block
dig.stone 	block
dig.wood 	block
tile.piston.in 	block
tile.piston.out 	block
fire.fire 	block
fire.ignite 	block
leashknot.break 	block
leashknot.place 	block
firework.blast 	–
firework.large_blast 	–
firework.launch 	–
firework.shoot 	–
firework.twinkle 	–
armor.equip_chain 	neutral
armor.equip_diamond 	neutral
armor.equip_generic 	neutral
armor.equip_gold 	neutral
armor.equip_iron 	neutral
armor.equip_leather 	neutral
liquid.lava 	block
liquid.lavapop 	block
liquid.water 	block
bubble.pop 	block
bubble.up 	block
bubble.upinside 	–
bubble.down 	block
bubble.downinside 	–
minecart.base 	neutral
minecart.inside 	neutral
block.furnace.lit 	neutral
block.blastfurnace.fire_crackle 	–
block.smoker.smoke 	–
mob.agent.spawn 	neutral
mob.armor_stand.break 	neutral
mob.armor_stand.hit 	neutral
mob.armor_stand.land 	neutral
mob.armor_stand.place 	neutral
mob.bat.death 	neutral
mob.bat.hurt 	neutral
mob.bat.idle 	neutral
mob.bat.takeoff 	neutral
mob.blaze.breathe 	hostile
mob.blaze.death 	hostile
mob.blaze.hit 	hostile
mob.blaze.shoot 	–
mob.chicken.hurt 	neutral
mob.chicken.plop 	neutral
mob.chicken.say 	neutral
mob.chicken.step 	neutral
mob.cow.hurt 	neutral
mob.cow.say 	neutral
mob.cow.step 	neutral
mob.cow.milk 	neutral
mob.creeper.death 	hostile
mob.creeper.say 	hostile
mob.dolphin.idle_water 	–
mob.dolphin.attack 	–
mob.dolphin.blowhole 	–
mob.dolphin.death 	–
mob.dolphin.eat 	–
mob.dolphin.hurt 	–
mob.dolphin.idle 	–
mob.dolphin.jump 	–
mob.dolphin.play 	–
mob.dolphin.splash 	–
mob.dolphin.swim 	–
mob.drowned.say_water 	–
mob.drowned.death_water 	–
mob.drowned.hurt_water 	–
mob.drowned.say 	–
mob.drowned.death 	–
mob.drowned.hurt 	–
mob.drowned.shoot 	–
mob.drowned.step 	–
mob.drowned.swim 	–
entity.zombie.converted_to_drowned 	–
mob.endermen.death 	hostile
mob.endermen.hit 	hostile
mob.endermen.idle 	hostile
mob.endermen.portal 	hostile
mob.endermen.scream 	hostile
mob.endermen.stare 	hostile
mob.enderdragon.death 	hostile
mob.enderdragon.hit 	hostile
mob.enderdragon.flap 	neutral
mob.enderdragon.growl 	hostile
mob.fox.ambient 	neutral
mob.fox.hurt 	neutral
mob.fox.death 	neutral
mob.fox.aggro 	hostile
mob.fox.sniff 	neutral
mob.fox.bite 	hostile
mob.fox.eat 	neutral
mob.fox.screech 	neutral
mob.fox.sleep 	neutral
mob.fox.spit 	neutral
mob.ghast.affectionate_scream
(min_distance = 100) 	hostile
mob.ghast.charge
(min_distance = 100) 	hostile
mob.ghast.death
(min_distance = 100) 	hostile
mob.ghast.fireball 	hostile
mob.ghast.moan
(min_distance = 100) 	hostile
mob.ghast.scream
(min_distance = 100) 	hostile
mob.guardian.ambient 	hostile
mob.guardian.attack_loop 	hostile
mob.elderguardian.curse 	hostile
mob.elderguardian.death 	hostile
mob.elderguardian.hit 	hostile
mob.elderguardian.idle 	hostile
mob.guardian.flop 	hostile
mob.guardian.death 	hostile
mob.guardian.hit 	hostile
mob.guardian.land_death 	hostile
mob.guardian.land_hit 	hostile
mob.guardian.land_idle 	hostile
mob.fish.flop 	neutral
mob.fish.hurt 	neutral
mob.fish.step 	neutral
mob.llama.angry 	neutral
mob.llama.death 	neutral
mob.llama.idle 	neutral
mob.llama.spit 	neutral
mob.llama.hurt 	–
mob.llama.eat 	–
mob.llama.step 	–
mob.llama.swag 	neutral
mob.horse.angry 	neutral
mob.horse.armor 	neutral
mob.horse.breathe 	neutral
mob.horse.death 	neutral
mob.horse.donkey.angry 	neutral
mob.horse.donkey.death 	neutral
mob.horse.donkey.hit 	neutral
mob.horse.donkey.idle 	neutral
mob.horse.eat 	–
mob.horse.gallop 	neutral
mob.horse.hit 	neutral
mob.horse.idle 	neutral
mob.horse.jump 	neutral
mob.horse.land 	neutral
mob.horse.leather 	neutral
mob.horse.skeleton.death 	neutral
mob.horse.skeleton.hit 	neutral
mob.horse.skeleton.idle 	neutral
mob.horse.soft 	neutral
mob.horse.wood 	neutral
mob.horse.zombie.death 	neutral
mob.horse.zombie.hit 	neutral
mob.horse.zombie.idle 	neutral
mob.husk.ambient 	–
mob.husk.death 	–
mob.husk.hurt 	–
mob.husk.step 	–
mob.ravager.ambient 	–
mob.ravager.bite 	–
mob.ravager.celebrate 	–
mob.ravager.death 	–
mob.ravager.hurt 	–
mob.ravager.roar 	–
mob.ravager.step 	–
mob.ravager.stun 	–
mob.irongolem.throw 	hostile
mob.irongolem.death 	hostile
mob.irongolem.hit 	hostile
mob.irongolem.walk 	hostile
mob.shulker.ambient 	neutral
mob.shulker.close 	neutral
mob.shulker.death 	neutral
mob.shulker.close.hurt 	neutral
mob.shulker.hurt 	neutral
mob.shulker.open 	neutral
mob.shulker.shoot 	neutral
mob.shulker.teleport 	neutral
mob.shulker.bullet.hit 	neutral
mob.magmacube.big 	hostile
mob.magmacube.jump 	hostile
mob.magmacube.small 	hostile
mob.mooshroom.convert 	neutral
mob.mooshroom.eat 	neutral
mob.mooshroom.suspicious_milk 	neutral
mob.parrot.idle 	neutral
mob.parrot.hurt 	neutral
mob.parrot.death 	neutral
mob.parrot.step 	neutral
mob.parrot.eat 	neutral
mob.parrot.fly 	neutral
mob.phantom.bite 	hostile
mob.phantom.death 	hostile
mob.phantom.hurt 	hostile
mob.phantom.idle 	hostile
mob.phantom.swoop 	hostile
mob.pig.death 	neutral
mob.pig.boost 	neutral
mob.pig.say 	neutral
mob.pig.step 	neutral
mob.pillager.celebrate 	–
mob.pillager.death 	neutral
mob.pillager.hurt 	neutral
mob.pillager.idle 	neutral
mob.rabbit.hurt 	neutral
mob.rabbit.idle 	neutral
mob.rabbit.hop 	neutral
mob.rabbit.death 	neutral
mob.sheep.say 	neutral
mob.sheep.shear 	neutral
mob.sheep.step 	neutral
mob.silverfish.hit 	hostile
mob.silverfish.kill 	hostile
mob.silverfish.say 	hostile
mob.silverfish.step 	hostile
mob.endermite.hit 	hostile
mob.endermite.kill 	hostile
mob.endermite.say 	hostile
mob.endermite.step 	hostile
mob.skeleton.death 	hostile
mob.skeleton.hurt 	hostile
mob.skeleton.say 	hostile
mob.skeleton.step 	hostile
mob.slime.big 	hostile
mob.slime.small 	hostile
mob.slime.attack 	–
mob.slime.death 	–
mob.slime.hurt 	–
mob.slime.jump 	–
mob.slime.squish 	–
mob.snowgolem.death 	–
mob.snowgolem.hurt 	–
mob.snowgolem.shoot 	–
mob.spider.death 	hostile
mob.spider.say 	hostile
mob.spider.step 	hostile
mob.squid.ambient 	neutral
mob.squid.death 	neutral
mob.squid.hurt 	neutral
mob.turtle.ambient 	neutral
mob.turtle_baby.born 	neutral
mob.turtle.death 	neutral
mob.turtle_baby.death 	neutral
mob.turtle.hurt 	neutral
mob.turtle_baby.hurt 	neutral
mob.turtle.step 	–
mob.turtle_baby.step 	–
mob.turtle.swim 	–
mob.stray.ambient 	–
mob.stray.death 	–
mob.stray.hurt 	–
mob.stray.step 	–
mob.villager.death 	neutral
mob.villager.haggle 	neutral
mob.villager.hit 	neutral
mob.villager.idle 	neutral
mob.villager.no 	neutral
mob.villager.yes 	neutral
mob.vindicator.celebrate 	–
mob.vindicator.death 	hostile
mob.vindicator.hurt 	hostile
mob.vindicator.idle 	neutral
mob.evocation_fangs.attack 	hostile
mob.evocation_illager.ambient 	hostile
mob.evocation_illager.cast_spell 	hostile
mob.evocation_illager.celebrate 	–
mob.evocation_illager.death 	hostile
mob.evocation_illager.hurt 	hostile
mob.evocation_illager.prepare_attack 	hostile
mob.evocation_illager.prepare_summon 	hostile
mob.evocation_illager.prepare_wololo 	hostile
mob.vex.ambient 	hostile
mob.vex.death 	hostile
mob.vex.hurt 	hostile
mob.vex.charge 	hostile
item.book.page_turn 	–
item.book.put 	–
block.bell.hit 	–
item.trident.hit_ground 	–
item.trident.hit 	–
